"id","name","title","addedDate","bdr","company","source","status","link","phone","notes","email"
"2307","Adam Jenkins","Legacy Data Executive","2025-06-16 08:25:02.882","Dan Reeves","Enterprise Solutions (Real Estate)","Cold Email","New Lead",,"667-788-3189 x0481","Lead from Real Estate industry via Partner","Angus_Fay@hotmail.com"
"2308","Leona Walter","Chief Security Technician","2025-06-23 11:51:57.638","Mark Cawston","Enterprise Solutions (Construction)","Partner","New Lead",,"656-805-1708 x8128","Lead from Construction industry via Trade Show","Tre92@gmail.com"
"2309","Hugh Labadie","Chief Division Developer","2025-06-09 11:55:47.282","Jamie Waite","Strategic Partners (Construction)","Partner","Converted",,"(773) 395-2495 x5014","Lead from Construction industry via LinkedIn","Cleora74@yahoo.com"
"2310","Bruce Dicki","Dynamic Quality Agent","2025-07-08 08:58:09.325","Gary Smith","Growth Partners (Consulting)","Partner","New Lead",,"(392) 933-4521 x9526","Lead from Consulting industry via Content Marketing","Toni_Kovacek50@hotmail.com"
"2311","Lorene Kreiger","Global Configuration Analyst","2025-07-08 10:32:01.745","Stephen Vivian","TechCorp Solutions (Hospitality)","Trade Show","New Lead",,"(763) 547-4173 x4745","Lead from Hospitality industry via Cold Call","Althea9@yahoo.com"
"2312","Ada Huels I","Internal Implementation Specialist","2025-06-16 14:07:22.797","Jess Collins","Digital Innovations Ltd (Education)","Trade Show","New Lead",,"828.878.1866 x5299","Lead from Education industry via Partner","Claire_Streich1@yahoo.com"
"2313","Maryann DuBuque","International Accountability Facilitator","2025-06-25 08:54:53.762","Thomas Corcoran","Data Solutions (Marketing)","Cold Email","New Lead",,"1-546-887-7114","Lead from Marketing industry via Cold Email","Concepcion.Breitenberg97@gmail.com"
"2314","Archie O'Kon","Regional Metrics Administrator","2025-06-30 08:54:34.178","Dan Reeves","TechCorp Solutions (Real Estate)","Trade Show","New Lead",,"(926) 454-4954 x785","Lead from Real Estate industry via Cold Call","Nella68@gmail.com"
"2315","Christina Tromp","Central Tactics Designer","2025-06-18 10:33:43.759","Stephen Vivian","Enterprise Solutions (Real Estate)","Partner","New Lead",,"1-430-476-0657 x6844","Lead from Real Estate industry via Referral","Beau_Dicki@gmail.com"
"2316","Luis Volkman","Global Functionality Manager","2025-07-16 11:19:05.434","Stephen Vivian","NextGen Technologies (Technology)","Cold Email","New Lead",,"663.647.0695 x8638","Lead from Technology industry via Cold Call","Isidro_Leannon@gmail.com"
"2317","Kerry Ortiz","District Usability Strategist","2025-07-08 11:52:23.022","Dan Reeves","Prime Business Group (Marketing)","LinkedIn","New Lead",,"1-202-457-7232 x78485","Lead from Marketing industry via Referral","Jamaal29@yahoo.com"
"2318","Pat Reynolds","Human Creative Architect","2025-06-26 16:23:58.135","Jess Collins","Global Systems Inc (Real Estate)","Content Marketing","New Lead",,"794.813.9534 x777","Lead from Real Estate industry via Cold Call","Mitchell.Ratke21@gmail.com"
"2319","Rochelle Block","Central Mobility Manager","2025-07-11 12:51:41.021","Jess Collins","TechCorp Solutions (Hospitality)","Cold Email","New Lead",,"852-664-4393 x17105","Lead from Hospitality industry via Partner","Cecelia_Lindgren36@gmail.com"
"2320","Miss Molly Armstrong","National Tactics Facilitator","2025-07-14 15:21:13.941","Naeem Patel","TechCorp Solutions (Finance)","Cold Call","New Lead",,"(263) 271-2153 x889","Lead from Finance industry via Website Form","Dereck.Miller27@gmail.com"
"2321","Duane Doyle","Investor Assurance Strategist","2025-06-23 16:01:37.664","Jennifer Davies","Advanced Analytics (Real Estate)","Cold Email","New Lead",,"366-735-0341 x2877","Lead from Real Estate industry via Content Marketing","Lesly30@hotmail.com"
"2322","Elsie Shanahan","Principal Program Associate","2025-06-23 11:27:42.494","Thomas Corcoran","Future Tech (Construction)","Referral","New Lead",,"466.280.2079 x552","Lead from Construction industry via Website Form","Milan87@gmail.com"
"2323","Jesse Daniel","Central Intranet Facilitator","2025-06-30 13:53:34.841","Adel Mhiri","Digital Innovations Ltd (Retail)","Social Media","Converted",,"(634) 470-5646 x688","Lead from Retail industry via Webinar","Chandler59@hotmail.com"
"2324","Ernestine Nikolaus","Senior Paradigm Representative","2025-06-10 11:03:40.231","Naeem Patel","TechCorp Solutions (Consulting)","Webinar","New Lead",,"(793) 412-5731 x976","Lead from Consulting industry via Partner","Barry59@gmail.com"
"2325","Alma Feeney","International Group Supervisor","2025-07-22 11:50:19.401","Gary Smith","Elite Consulting (Real Estate)","Social Media","New Lead",,"(482) 336-0307 x382","Lead from Real Estate industry via Trade Show","Hailee25@yahoo.com"
"2326","Dwayne Rutherford-Schaden","Human Optimization Planner","2025-06-16 10:11:32.761","Dan Reeves","Enterprise Solutions (Manufacturing)","Trade Show","New Lead",,"(601) 620-0328 x7715","Lead from Manufacturing industry via Content Marketing","Joanne_Wolf@yahoo.com"
"2327","Thelma Crist","International Integration Technician","2025-08-01 16:27:09.072","Dan Reeves","Business Dynamics (Finance)","Content Marketing","New Lead",,"960-601-2700 x2543","Lead from Finance industry via Cold Email","Mohammed.Corkery82@gmail.com"
"2328","Perry O'Hara","International Integration Administrator","2025-07-03 11:19:03.489","Jess Collins","Future Tech (Retail)","Webinar","New Lead",,"(740) 681-0654 x608","Lead from Retail industry via Trade Show","Elody_Dicki10@hotmail.com"
"2329","Teri Mante","Human Mobility Analyst","2025-07-21 09:35:36.443","Naeem Patel","NextGen Technologies (Real Estate)","Referral","Converted",,"693-558-8244 x54286","Lead from Real Estate industry via Referral","Demarcus_Stamm@yahoo.com"
"2330","Robin Predovic","Principal Intranet Designer","2025-07-28 14:17:47.025","Mark Cawston","Smart Systems (Healthcare)","Cold Call","New Lead",,"(917) 830-0680 x56213","Lead from Healthcare industry via Webinar","Reagan_Hagenes@yahoo.com"
"2331","Clay Becker","Senior Accountability Officer","2025-06-09 08:05:03.751","Verity Kay","Data Solutions (Manufacturing)","Referral","New Lead",,"239.270.0104 x359","Lead from Manufacturing industry via LinkedIn","Estelle81@hotmail.com"
"2332","Constance Kling Jr.","Future Division Representative","2025-06-30 15:36:08.035","Dan Reeves","Global Systems Inc (Construction)","Trade Show","New Lead",,"(303) 861-3419 x31718","Lead from Construction industry via Cold Call","Travon_Rogahn@hotmail.com"
"2333","Mr. Darnell Veum","National Research Designer","2025-07-22 08:52:32.897","Thomas Corcoran","Elite Consulting (Finance)","Webinar","New Lead",,"774.559.5773 x34961","Lead from Finance industry via Partner","Tito_Weber44@gmail.com"
"2334","Arthur Crist","Internal Paradigm Analyst","2025-06-13 12:32:56.947","Thomas Hardy","Business Dynamics (Construction)","Trade Show","New Lead",,"1-771-426-6996","Lead from Construction industry via Social Media","Guadalupe_Romaguera@gmail.com"
"2335","Natasha Reichel","Corporate Creative Designer","2025-07-10 13:19:22.482","Mark Cawston","Advanced Analytics (Healthcare)","Webinar","New Lead",,"1-592-657-6143 x508","Lead from Healthcare industry via Content Marketing","Antonietta_Waelchi75@hotmail.com"
"2336","Rosemarie Wisoky","Product Applications Facilitator","2025-06-13 11:00:53.508","Gary Smith","Strategic Partners (Construction)","Webinar","New Lead",,"384.721.9148 x83789","Lead from Construction industry via Webinar","Santino82@gmail.com"
"2337","Freddie Lueilwitz","Central Tactics Coordinator","2025-06-16 08:12:13.133","Thomas Corcoran","Future Tech (Hospitality)","Cold Call","New Lead",,"406-303-5655 x5706","Lead from Hospitality industry via Webinar","Kiera.Boyle-Weimann94@gmail.com"
"2338","Gloria Veum-Kutch","Lead Factors Consultant","2025-06-09 16:01:41.249","Mark Cawston","Strategic Partners (Legal)","Cold Call","Converted",,"379-876-4555 x4901","Lead from Legal industry via Cold Email","Tremayne.Schimmel@yahoo.com"
"2339","Melinda Stoltenberg IV","Principal Interactions Planner","2025-07-21 08:40:32.527","Naeem Patel","Data Solutions (Technology)","Referral","Converted",,"459.894.1513 x1843","Lead from Technology industry via Social Media","Rhoda_Buckridge@hotmail.com"
"2340","Allan Kreiger","Corporate Quality Representative","2025-07-14 14:29:42.562","Thomas Corcoran","Performance Group (Finance)","Content Marketing","New Lead",,"1-597-905-7061","Lead from Finance industry via Webinar","Scottie54@gmail.com"
"2341","Gilberto Maggio","Direct Intranet Technician","2025-08-04 08:55:30.166","Thomas Corcoran","Growth Partners (Marketing)","Trade Show","New Lead",,"333.787.3796 x78263","Lead from Marketing industry via Webinar","Audie.Bernier-Herzog63@yahoo.com"
"2342","Nicole Hermiston","Legacy Accountability Executive","2025-07-08 09:48:06.265","Dan Reeves","Performance Group (Legal)","Cold Email","New Lead",,"(296) 736-5704","Lead from Legal industry via Cold Call","Liza.MacGyver48@gmail.com"
"2343","Esther Nikolaus","International Optimization Developer","2025-07-24 13:51:44.476","Thomas Corcoran","NextGen Technologies (Consulting)","Webinar","New Lead",,"(688) 596-5975 x7279","Lead from Consulting industry via Cold Call","Tyra71@gmail.com"
"2344","Dallas Wiza","Principal Implementation Administrator","2025-08-04 11:45:21.358","Dan Reeves","Smart Systems (Retail)","Cold Call","New Lead",,"1-676-654-3585 x84139","Lead from Retail industry via Webinar","Bell.Ziemann14@gmail.com"
"2345","Dr. Cedric Nitzsche","Senior Group Technician","2025-06-23 14:28:48.512","Gary Smith","NextGen Technologies (Hospitality)","Cold Email","New Lead",,"(346) 577-3225 x364","Lead from Hospitality industry via Content Marketing","Kieran.Rosenbaum40@yahoo.com"
"2346","Karen Armstrong-Pagac","Legacy Factors Executive","2025-06-25 14:30:02.201","Jess Collins","Future Tech (Hospitality)","LinkedIn","New Lead",,"1-761-905-4627 x9931","Lead from Hospitality industry via Webinar","Lucienne0@yahoo.com"
"2347","Viola Runolfsdottir","Forward Configuration Consultant","2025-07-08 16:34:45.672","Stephen Vivian","Innovation Hub (Manufacturing)","Trade Show","New Lead",,"254-752-3681","Lead from Manufacturing industry via Cold Email","Carole90@gmail.com"
"2348","Taylor Reichert","Senior Usability Representative","2025-06-27 09:18:06.806","Jamie Waite","Business Dynamics (Construction)","Website Form","New Lead",,"(755) 825-7021 x0746","Lead from Construction industry via Partner","Damon18@yahoo.com"
"2349","Maurice Russel","District Research Architect","2025-08-04 13:39:23.509","Verity Kay","Prime Business Group (Healthcare)","LinkedIn","New Lead",,"880.220.4793 x97545","Lead from Healthcare industry via Referral","Teresa_Streich@gmail.com"
"2350","Colin Schroeder","Human Division Associate","2025-07-22 09:32:22.337","Jess Collins","TechCorp Solutions (Technology)","LinkedIn","New Lead",,"1-596-953-3738","Lead from Technology industry via Webinar","Emmie61@gmail.com"
"2351","Alexis Roberts","National Division Facilitator","2025-08-04 13:53:24.597","Thomas Hardy","Smart Systems (Legal)","LinkedIn","Converted",,"1-515-941-9600 x4147","Lead from Legal industry via Webinar","Reilly.Hahn@yahoo.com"
"2352","Charles Murray","Customer Directives Associate","2025-06-16 09:20:28.038","Stephen Vivian","Growth Partners (Legal)","Social Media","New Lead",,"962-645-2544 x3217","Lead from Legal industry via Webinar","Constance2@gmail.com"
"2353","Benny Lynch II","District Security Director","2025-06-09 10:25:00.23","Thomas Hardy","Elite Consulting (Healthcare)","Trade Show","New Lead",,"325.482.0311 x2578","Lead from Healthcare industry via Webinar","Samir.Kshlerin8@hotmail.com"
"2354","Neil Hirthe","Customer Response Agent","2025-07-10 13:35:57.892","Verity Kay","Performance Group (Real Estate)","Webinar","New Lead",,"1-585-895-2517","Lead from Real Estate industry via Referral","Cole_Mosciski@hotmail.com"
"2355","Kayla Mohr","Principal Marketing Producer","2025-07-16 09:54:40.428","Thomas Hardy","Innovation Hub (Construction)","Cold Email","New Lead",,"569.237.7022 x437","Lead from Construction industry via Cold Call","Lue.Altenwerth-Baumbach16@gmail.com"
"2356","Allan Zboncak","Investor Solutions Agent","2025-06-16 10:54:07.534","Thomas Corcoran","Data Solutions (Education)","Partner","New Lead",,"(485) 941-4218 x8628","Lead from Education industry via Website Form","Destin77@gmail.com"
"2357","Noah Bogisich","Customer Mobility Orchestrator","2025-07-04 12:19:18.574","Jennifer Davies","Global Systems Inc (Finance)","Cold Call","New Lead",,"1-890-325-4095 x50974","Lead from Finance industry via Social Media","Daphne_Boehm@gmail.com"
"2358","Mrs. Glenda Cruickshank","Lead Data Facilitator","2025-07-23 12:43:31.155","Naeem Patel","Performance Group (Real Estate)","Cold Call","New Lead",,"899.226.2289 x1606","Lead from Real Estate industry via Cold Email","Leta93@hotmail.com"
"2359","Samantha Stokes","Legacy Solutions Supervisor","2025-08-01 13:38:18.011","Verity Kay","Business Dynamics (Technology)","Website Form","New Lead",,"848.502.1001 x76672","Lead from Technology industry via LinkedIn","Raphael_King-Ullrich7@gmail.com"
"2360","Isaac Kohler","Forward Accountability Administrator","2025-07-09 15:10:00.972","Stephen Vivian","TechCorp Solutions (Manufacturing)","Webinar","New Lead",,"486-411-9373 x689","Lead from Manufacturing industry via Content Marketing","Tyrique_Fahey@hotmail.com"
"2361","Lorraine Kerluke","Customer Tactics Developer","2025-07-29 13:00:51.914","Stephen Vivian","Elite Consulting (Consulting)","LinkedIn","New Lead",,"1-689-819-5855 x886","Lead from Consulting industry via Cold Call","Greg_DuBuque54@gmail.com"
"2362","Terrence Wiza","Direct Communications Coordinator","2025-06-30 15:32:39.934","Jess Collins","Growth Partners (Marketing)","Webinar","New Lead",,"672.239.3064 x015","Lead from Marketing industry via Trade Show","Alessandra_Russel@hotmail.com"
"2363","Darrin Grant","Principal Response Specialist","2025-06-20 08:04:15.117","Jamie Waite","Elite Consulting (Consulting)","Website Form","New Lead",,"1-393-720-8412 x02098","Lead from Consulting industry via Cold Call","Jace_Hudson63@yahoo.com"
"2364","Randolph Cremin","Global Brand Coordinator","2025-07-10 15:33:03.39","Verity Kay","Growth Partners (Healthcare)","Cold Email","Converted",,"1-733-251-5583 x9411","Lead from Healthcare industry via Trade Show","Domenica16@yahoo.com"
"2365","Hugh Wiza","Global Quality Designer","2025-07-29 10:14:56.208","Verity Kay","NextGen Technologies (Manufacturing)","Cold Call","New Lead",,"(991) 383-4349 x81601","Lead from Manufacturing industry via LinkedIn","Tressie.Stracke-Kub80@hotmail.com"
"2366","Sophia Raynor","Internal Branding Executive","2025-06-06 13:55:28.595","Jamie Waite","Prime Business Group (Manufacturing)","Cold Email","New Lead",,"1-532-268-6206 x19145","Lead from Manufacturing industry via Cold Email","Brennan97@gmail.com"
"2367","Dr. Dwight Bergnaum","Forward Functionality Director","2025-06-24 14:22:01.999","Verity Kay","Prime Business Group (Retail)","Cold Email","New Lead",,"422-267-4052 x58247","Lead from Retail industry via Social Media","Isabell_Wintheiser22@gmail.com"
"2368","Lorenzo Tromp III","Chief Accounts Specialist","2025-06-13 14:50:02.046","Jennifer Davies","Smart Systems (Hospitality)","Content Marketing","New Lead",,"342-481-7678","Lead from Hospitality industry via Content Marketing","Vena_Lubowitz40@hotmail.com"
"2369","Dr. Oscar Bartell","Product Security Analyst","2025-07-28 12:45:14.627","Thomas Corcoran","Innovation Hub (Education)","Social Media","Converted",,"206.804.6232 x88378","Lead from Education industry via LinkedIn","Clement.Runte@gmail.com"
"2370","Stanley McGlynn","Direct Research Engineer","2025-06-13 14:54:30.22","Jess Collins","Smart Systems (Real Estate)","Website Form","New Lead",,"1-574-378-6216 x3679","Lead from Real Estate industry via Website Form","Antonio_Mertz@yahoo.com"
"2371","Jeanne Schowalter","Customer Response Officer","2025-06-20 09:26:21.562","Dan Reeves","Innovation Hub (Consulting)","Webinar","New Lead",,"(318) 324-5629 x3912","Lead from Consulting industry via Trade Show","Gust_West35@gmail.com"
"2372","Donna Hills I","Dynamic Division Technician","2025-07-07 10:04:34.887","Adel Mhiri","Advanced Analytics (Manufacturing)","Webinar","New Lead",,"(405) 543-2579 x5074","Lead from Manufacturing industry via Cold Email","Louisa.Thompson@gmail.com"
"2373","Toni Wunsch-Howe","Customer Metrics Producer","2025-06-18 16:16:46.443","Jamie Waite","Future Tech (Healthcare)","Social Media","New Lead",,"(692) 967-0271","Lead from Healthcare industry via Trade Show","Rubye.Mayer@yahoo.com"
"2374","Mr. Tony Johnson","Chief Marketing Producer","2025-06-12 12:28:33.039","Stephen Vivian","Growth Partners (Hospitality)","Trade Show","Converted",,"835.362.2221 x86611","Lead from Hospitality industry via Partner","Christop_Welch84@hotmail.com"
"2375","Jermaine Hagenes","Investor Infrastructure Assistant","2025-06-09 14:02:55.112","Jennifer Davies","Global Systems Inc (Healthcare)","Cold Call","New Lead",,"1-427-710-6442 x2826","Lead from Healthcare industry via Partner","Graciela_Lynch38@gmail.com"
"2376","Wendell Abshire","Internal Directives Agent","2025-07-08 16:38:26.744","Mark Cawston","Advanced Analytics (Legal)","Social Media","New Lead",,"(735) 855-5178 x4763","Lead from Legal industry via Referral","Jacky48@gmail.com"
"2377","Adam Ullrich","Internal Solutions Agent","2025-07-02 16:43:56.248","Thomas Corcoran","Global Systems Inc (Marketing)","Cold Call","New Lead",,"873-490-1805 x7475","Lead from Marketing industry via Trade Show","Kenna.Mueller@yahoo.com"
"2378","Jennie Douglas","Chief Operations Producer","2025-06-11 16:34:29.632","Verity Kay","Global Systems Inc (Retail)","Partner","New Lead",,"976-313-0524 x860","Lead from Retail industry via Partner","Erik.Schmeler@gmail.com"
"2379","Marian Schmitt","Principal Research Administrator","2025-06-06 14:57:23.454","Naeem Patel","Enterprise Solutions (Healthcare)","Referral","New Lead",,"1-828-590-6833","Lead from Healthcare industry via Cold Email","Rocky_Rice27@gmail.com"
"2380","Jeffrey Boehm","Central Intranet Administrator","2025-07-14 16:03:26.81","Adel Mhiri","Strategic Partners (Marketing)","Cold Call","New Lead",,"554-575-0117 x490","Lead from Marketing industry via Partner","Rachelle.Cole@gmail.com"
"2381","Lewis Erdman","Global Implementation Technician","2025-07-29 13:41:38.48","Verity Kay","NextGen Technologies (Technology)","Partner","New Lead",,"882-903-2823 x242","Lead from Technology industry via Cold Email","Elijah.Stark9@yahoo.com"
"2382","Luke Kerluke","Legacy Markets Supervisor","2025-07-31 13:47:56.106","Dan Reeves","Future Tech (Marketing)","Cold Email","New Lead",,"(505) 904-8845 x4108","Lead from Marketing industry via LinkedIn","Manuela17@hotmail.com"
"2383","Iris Bauch","Direct Factors Designer","2025-06-26 10:19:35.292","Dan Reeves","TechCorp Solutions (Finance)","Social Media","New Lead",,"1-204-478-5676 x8512","Lead from Finance industry via Content Marketing","Giuseppe.Reynolds25@hotmail.com"
"2384","Abraham Pollich","National Tactics Liaison","2025-07-15 13:07:09.71","Gary Smith","Digital Innovations Ltd (Finance)","Content Marketing","New Lead",,"542.244.8260","Lead from Finance industry via Content Marketing","Horace_Wisozk@hotmail.com"
"2385","Alfonso Prohaska I","Global Identity Specialist","2025-07-14 12:18:45.608","Gary Smith","Data Solutions (Healthcare)","Cold Email","New Lead",,"(907) 537-5247","Lead from Healthcare industry via Trade Show","Gregorio50@gmail.com"
"2386","Douglas Koss","International Division Representative","2025-07-21 15:04:46.103","Stephen Vivian","Future Tech (Education)","Social Media","New Lead",,"260.752.0352 x97897","Lead from Education industry via Website Form","Tessie4@yahoo.com"
"2387","Della Gorczany","Direct Factors Assistant","2025-06-30 09:01:09.77","Naeem Patel","Performance Group (Real Estate)","Referral","New Lead",,"627.497.8221 x511","Lead from Real Estate industry via Referral","Eleanora44@yahoo.com"
"2388","Bessie Hansen","Lead Integration Engineer","2025-07-22 16:46:21.3","Gary Smith","Growth Partners (Healthcare)","Cold Call","New Lead",,"374.995.6087 x8074","Lead from Healthcare industry via Cold Email","Elise_Skiles4@gmail.com"
"2389","Jo Yundt","District Factors Associate","2025-08-04 10:25:03.061","Jennifer Davies","Enterprise Solutions (Education)","LinkedIn","Converted",,"(256) 411-0727 x70068","Lead from Education industry via Trade Show","Marianne_Russel47@hotmail.com"
"2390","Bobby Keeling III","Human Integration Developer","2025-06-12 10:18:57.413","Rupert Kay","Digital Innovations Ltd (Hospitality)","Cold Email","New Lead",,"252-229-5409","Lead from Hospitality industry via LinkedIn","Jermain3@yahoo.com"
"2391","Celia Conn","Lead Data Developer","2025-07-28 11:45:12.769","Stephen Vivian","Enterprise Solutions (Marketing)","Cold Email","New Lead",,"(656) 200-7736 x41966","Lead from Marketing industry via Social Media","Tyrell.Hammes10@yahoo.com"
"2392","Dixie Rosenbaum","Chief Accountability Designer","2025-07-02 09:19:35.028","Naeem Patel","Data Solutions (Consulting)","Website Form","New Lead",,"868.928.0132 x487","Lead from Consulting industry via Referral","Rosendo_Williamson16@gmail.com"
"2393","Benjamin Schuster","Future Web Associate","2025-06-10 12:44:26.955","Mark Cawston","TechCorp Solutions (Education)","Cold Email","Converted",,"676-801-7059","Lead from Education industry via Webinar","Geovany21@gmail.com"
"2394","Sergio Schroeder","District Directives Manager","2025-07-31 11:54:20.555","Stephen Vivian","Digital Innovations Ltd (Finance)","Website Form","New Lead",,"1-927-837-4873 x3614","Lead from Finance industry via Webinar","Malvina1@yahoo.com"
"2395","Barbara Treutel","Senior Web Technician","2025-06-09 13:14:18.042","Thomas Hardy","Strategic Partners (Technology)","Website Form","New Lead",,"265.353.2379 x0557","Lead from Technology industry via Website Form","Ashley61@hotmail.com"
"2396","Erin Bauch","Central Marketing Executive","2025-08-05 12:29:38.245","Dan Reeves","Performance Group (Hospitality)","Partner","New Lead",,"(800) 613-6116 x8046","Lead from Hospitality industry via Website Form","Angelica_Rohan52@gmail.com"
"2397","Cathy Willms","International Quality Designer","2025-07-01 16:39:01.691","Stephen Vivian","Smart Systems (Education)","Cold Email","New Lead",,"1-288-885-7218 x953","Lead from Education industry via LinkedIn","Zakary.White95@gmail.com"
"2398","Kathleen Mitchell","Internal Response Strategist","2025-06-09 13:55:56.57","Naeem Patel","Prime Business Group (Hospitality)","Webinar","New Lead",,"202.584.0056 x08095","Lead from Hospitality industry via Trade Show","Ramiro65@gmail.com"
"2399","Hubert Murphy","Legacy Optimization Associate","2025-07-16 09:28:24.1","Verity Kay","Future Tech (Retail)","LinkedIn","New Lead",,"1-589-216-1700 x20144","Lead from Retail industry via Cold Call","Joan.Harber56@gmail.com"
"2400","Blake Morissette","International Mobility Coordinator","2025-08-04 13:07:55.528","Jennifer Davies","Advanced Analytics (Legal)","Website Form","Converted",,"1-203-490-3394 x009","Lead from Legal industry via Content Marketing","Ole_Krajcik@yahoo.com"
"2401","Angelica Schaden","Investor Web Orchestrator","2025-07-17 08:19:18.106","Naeem Patel","Advanced Analytics (Finance)","LinkedIn","New Lead",,"1-679-953-1613","Lead from Finance industry via Cold Call","Kory_Feest@gmail.com"
"2402","Renee Ebert","Chief Functionality Strategist","2025-07-17 11:38:53.507","Naeem Patel","Strategic Partners (Consulting)","Cold Email","New Lead",,"(543) 547-1685 x3934","Lead from Consulting industry via Referral","Sherwood25@gmail.com"
"2403","Vicky Lind","Legacy Metrics Assistant","2025-06-20 08:12:04.336","Naeem Patel","Prime Business Group (Technology)","Trade Show","New Lead",,"(494) 840-0146 x232","Lead from Technology industry via Trade Show","Camryn_Quitzon25@gmail.com"
"2404","Marion Bechtelar","Dynamic Tactics Facilitator","2025-07-28 14:35:15.095","Stephen Vivian","Data Solutions (Marketing)","Trade Show","New Lead",,"492-874-0474 x3258","Lead from Marketing industry via Social Media","Nakia_Donnelly58@hotmail.com"
"2405","Adam Kirlin","National Security Officer","2025-07-17 09:58:13.619","Jennifer Davies","Enterprise Solutions (Marketing)","Website Form","New Lead",,"(741) 601-5462 x39616","Lead from Marketing industry via Webinar","Tyrique_Feil@hotmail.com"
"2406","Miss Sally Russel","Forward Operations Executive","2025-07-21 09:53:58.237","Rupert Kay","TechCorp Solutions (Legal)","Social Media","Converted",,"1-612-477-6537 x942","Lead from Legal industry via Partner","Lorenza77@gmail.com"
"2407","Emmett Beatty Jr.","International Branding Facilitator","2025-07-28 08:19:58.347","Dan Reeves","Business Dynamics (Manufacturing)","LinkedIn","New Lead",,"715.460.2069","Lead from Manufacturing industry via Referral","Misty.Murphy@yahoo.com"
"2408","Angelica Streich","Global Operations Manager","2025-06-30 15:51:05.364","Thomas Hardy","Prime Business Group (Real Estate)","Social Media","Converted",,"271-612-5834","Lead from Real Estate industry via Content Marketing","Garrett.Wisoky30@gmail.com"
"2409","Mrs. Wanda Krajcik","Central Accounts Specialist","2025-07-14 15:40:17.229","Verity Kay","Prime Business Group (Real Estate)","Cold Call","New Lead",,"742-992-8286 x6605","Lead from Real Estate industry via Cold Email","Josiah_Hodkiewicz37@hotmail.com"
"2410","Dr. Lorene DuBuque-Hartmann","Internal Response Manager","2025-07-28 14:46:39.042","Thomas Corcoran","Smart Systems (Healthcare)","Trade Show","New Lead",,"1-249-567-5455 x989","Lead from Healthcare industry via Content Marketing","Julianne.Mann28@yahoo.com"
"2411","Guy Ankunding","Forward Group Facilitator","2025-06-16 16:43:03.235","Thomas Corcoran","Elite Consulting (Technology)","Webinar","New Lead",,"602-944-5389","Lead from Technology industry via Content Marketing","Amya32@hotmail.com"
"2412","Adrian Hartmann","Chief Marketing Designer","2025-07-23 08:43:14.965","Jamie Waite","Digital Innovations Ltd (Legal)","LinkedIn","Converted",,"254.255.4691 x74034","Lead from Legal industry via Partner","Coy52@yahoo.com"
"2413","Earnest Medhurst","Customer Markets Liaison","2025-06-11 15:58:00.478","Verity Kay","Global Systems Inc (Marketing)","Cold Call","Converted",,"1-876-358-9502 x802","Lead from Marketing industry via Webinar","Aniyah79@gmail.com"
"2414","Courtney Crona V","Legacy Response Associate","2025-06-26 14:24:02.076","Dan Reeves","Future Tech (Manufacturing)","Social Media","New Lead",,"(374) 684-0990 x4796","Lead from Manufacturing industry via Referral","Elaina_Dooley@gmail.com"
"2415","Dixie Hintz","Chief Creative Administrator","2025-06-26 10:12:03.434","Thomas Hardy","Performance Group (Marketing)","Cold Email","New Lead",,"1-496-988-8130 x846","Lead from Marketing industry via Referral","Pablo0@hotmail.com"
"2416","Maggie Kulas","Chief Division Analyst","2025-07-28 12:26:48.937","Mark Cawston","NextGen Technologies (Technology)","Partner","New Lead",,"1-807-990-0429 x68817","Lead from Technology industry via Trade Show","Maia61@yahoo.com"
"2417","Ignacio McCullough","Global Functionality Facilitator","2025-08-04 13:56:50.457","Rupert Kay","Business Dynamics (Technology)","LinkedIn","New Lead",,"741-436-0221 x483","Lead from Technology industry via Partner","Myrtice.Hoeger@hotmail.com"
"2418","Freddie Volkman","Direct Optimization Designer","2025-07-08 14:17:50.801","Rupert Kay","TechCorp Solutions (Education)","Cold Email","Converted",,"255-305-6165","Lead from Education industry via Partner","Tyrel_OKon@hotmail.com"
"2419","Bertha McLaughlin","Lead Identity Assistant","2025-07-28 13:14:38.531","Rupert Kay","NextGen Technologies (Real Estate)","LinkedIn","New Lead",,"344-242-4531","Lead from Real Estate industry via LinkedIn","Edwin38@hotmail.com"
"2420","Esther Kessler","Global Research Technician","2025-07-14 12:59:43.006","Jennifer Davies","Prime Business Group (Technology)","Referral","New Lead",,"871-442-0209 x86831","Lead from Technology industry via Cold Call","Weldon_Von33@gmail.com"
"2421","Reginald Mann","Chief Directives Specialist","2025-07-22 08:31:27.251","Jennifer Davies","Elite Consulting (Healthcare)","Webinar","New Lead",,"(816) 491-1943 x86921","Lead from Healthcare industry via Cold Call","Rubye.Schinner20@hotmail.com"
"2422","Neal Beier DVM","Product Infrastructure Coordinator","2025-07-09 08:28:56.109","Mark Cawston","Future Tech (Hospitality)","LinkedIn","New Lead",,"1-831-323-3978","Lead from Hospitality industry via Content Marketing","Fay.Waters89@yahoo.com"
"2423","Ernestine D'Amore","Legacy Intranet Officer","2025-06-30 09:46:02.043","Thomas Hardy","Growth Partners (Healthcare)","Content Marketing","New Lead",,"(415) 812-0341 x5434","Lead from Healthcare industry via Trade Show","Alicia.Paucek@gmail.com"
